"Manager","ProductID","Sold"
"Man.1","Prod.1",29
"Man.1","Prod.1",35
"Man.1","Prod.1",47
"Man.1","Prod.1",42
"Man.1","Prod.1",32
"Man.1","Prod.1",32
"Man.2","Prod.1",72
"Man.2","Prod.1",64
"Man.2","Prod.1",65
"Man.2","Prod.1",76
"Man.2","Prod.1",69
"Man.2","Prod.1",73
"Man.3","Prod.1",47
"Man.3","Prod.1",38
"Man.3","Prod.1",31
"Man.3","Prod.1",35
"Man.3","Prod.1",37
"Man.3","Prod.1",37
"Man.4","Prod.1",60
"Man.4","Prod.1",62
"Man.4","Prod.1",57
"Man.4","Prod.1",60
"Man.4","Prod.1",70
"Man.4","Prod.1",61
"Man.5","Prod.1",29
"Man.5","Prod.1",28
"Man.5","Prod.1",30
"Man.5","Prod.1",25
"Man.5","Prod.1",34
"Man.5","Prod.1",22
"Man.6","Prod.1",32
"Man.6","Prod.1",19
"Man.6","Prod.1",19
"Man.6","Prod.1",26
"Man.6","Prod.1",28
"Man.6","Prod.1",28
"Man.7","Prod.1",30
"Man.7","Prod.1",22
"Man.7","Prod.1",19
"Man.7","Prod.1",25
"Man.7","Prod.1",28
"Man.7","Prod.1",26
"Man.8","Prod.1",54
"Man.8","Prod.1",55
"Man.8","Prod.1",62
"Man.8","Prod.1",57
"Man.8","Prod.1",57
"Man.8","Prod.1",59
"Man.9","Prod.1",52
"Man.9","Prod.1",53
"Man.9","Prod.1",52
"Man.9","Prod.1",54
"Man.9","Prod.1",61
"Man.9","Prod.1",59
"Man.10","Prod.1",58
"Man.10","Prod.1",65
"Man.10","Prod.1",52
"Man.10","Prod.1",63
"Man.10","Prod.1",52
"Man.10","Prod.1",44
"Man.11","Prod.1",21
"Man.11","Prod.1",35
"Man.11","Prod.1",27
"Man.11","Prod.1",26
"Man.11","Prod.1",24
"Man.11","Prod.1",18
"Man.12","Prod.1",48
"Man.12","Prod.1",52
"Man.12","Prod.1",51
"Man.12","Prod.1",46
"Man.12","Prod.1",38
"Man.12","Prod.1",51
"Man.13","Prod.1",29
"Man.13","Prod.1",30
"Man.13","Prod.1",28
"Man.13","Prod.1",28
"Man.13","Prod.1",33
"Man.13","Prod.1",33
"Man.14","Prod.1",69
"Man.14","Prod.1",74
"Man.14","Prod.1",73
"Man.14","Prod.1",73
"Man.14","Prod.1",77
"Man.14","Prod.1",72
"Man.15","Prod.1",42
"Man.15","Prod.1",44
"Man.15","Prod.1",43
"Man.15","Prod.1",39
"Man.15","Prod.1",53
"Man.15","Prod.1",45
"Man.16","Prod.1",61
"Man.16","Prod.1",58
"Man.16","Prod.1",61
"Man.16","Prod.1",53
"Man.16","Prod.1",62
"Man.16","Prod.1",56
"Man.17","Prod.1",36
"Man.17","Prod.1",34
"Man.17","Prod.1",33
"Man.17","Prod.1",31
"Man.17","Prod.1",34
"Man.17","Prod.1",23
"Man.18","Prod.1",36
"Man.18","Prod.1",31
"Man.18","Prod.1",24
"Man.18","Prod.1",33
"Man.18","Prod.1",37
"Man.18","Prod.1",27
"Man.19","Prod.1",29
"Man.19","Prod.1",33
"Man.19","Prod.1",30
"Man.19","Prod.1",34
"Man.19","Prod.1",32
"Man.19","Prod.1",27
"Man.20","Prod.1",43
"Man.20","Prod.1",45
"Man.20","Prod.1",53
"Man.20","Prod.1",54
"Man.20","Prod.1",57
"Man.20","Prod.1",54
"Man.21","Prod.1",68
"Man.21","Prod.1",76
"Man.21","Prod.1",66
"Man.21","Prod.1",80
"Man.21","Prod.1",76
"Man.21","Prod.1",78
"Man.22","Prod.1",42
"Man.22","Prod.1",36
"Man.22","Prod.1",50
"Man.22","Prod.1",39
"Man.22","Prod.1",44
"Man.22","Prod.1",39
"Man.23","Prod.1",72
"Man.23","Prod.1",64
"Man.23","Prod.1",66
"Man.23","Prod.1",77
"Man.23","Prod.1",75
"Man.23","Prod.1",75
"Man.24","Prod.1",46
"Man.24","Prod.1",53
"Man.24","Prod.1",49
"Man.24","Prod.1",45
"Man.24","Prod.1",40
"Man.24","Prod.1",40
"Man.25","Prod.1",37
"Man.25","Prod.1",43
"Man.25","Prod.1",28
"Man.25","Prod.1",42
"Man.25","Prod.1",38
"Man.25","Prod.1",39
"Man.1","Prod.1",39
"Man.1","Prod.1",26
"Man.1","Prod.1",36
"Man.1","Prod.1",41
"Man.1","Prod.1",37
"Man.1","Prod.1",35
"Man.2","Prod.1",75
"Man.2","Prod.1",69
"Man.2","Prod.1",64
"Man.2","Prod.1",72
"Man.2","Prod.1",70
"Man.2","Prod.1",70
"Man.3","Prod.1",40
"Man.3","Prod.1",34
"Man.3","Prod.1",38
"Man.3","Prod.1",45
"Man.3","Prod.1",39
"Man.3","Prod.1",46
"Man.4","Prod.1",63
"Man.4","Prod.1",58
"Man.4","Prod.1",50
"Man.4","Prod.1",65
"Man.4","Prod.1",59
"Man.4","Prod.1",58
